"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2017 VJ)","2109-2121","31","6.5e-6","11.52","24.5","0.042","-5.25","-5.88","0","bK17V00J"
"(2022 WE5)","2084-2120","13","1.7e-4","8.11","27.6","0.010","-5.25","-5.29","0","bK22W05E"
"(2022 SD9)","2100-2122","22","3.9e-4","13.42","28.4","0.007","-5.25","-5.29","0","bK22S09D"
"(2022 UD)","2072-2118","88","9.4e-5","11.10","27.2","0.012","-5.25","-5.89","0","bK22U00D"
"(2021 LD6)","2106-2121","8","1.8e-4","2.90","27.2","0.012","-5.26","-5.68","0","bK21L06D"
"(2022 UU14)","2052-2094","7","1.3e-6","29.00","24.5","0.042","-5.27","-5.59","0","bK22U14U"
"(2013 WM)","2047-2105","2","3.8e-7","35.40","23.9","0.055","-5.28","-5.45","0","bK13W00M"
"(2012 BY1)","2043-2074","10","4.5e-6","18.19","25.8","0.024","-5.28","-5.44","0","bK12B01Y"
"(2020 WG5)","2086-2121","28","2.3e-4","5.96","27.7","0.010","-5.28","-5.39","0","bK20W05G"
"(2023 XT20)","2076-2111","5","1.5e-5","17.08","25.8","0.024","-5.28","-5.54","0","bK23X20T"
"(2008 ST)","2048-2122","64","1.4e-4","3.24","27.1","0.013","-5.29","-5.69","0","bK08S00T"
"(2005 WG57)","2029-2122","12","6.9e-7","9.88","23.6","0.063","-5.29","-5.43","0","bK05W57G"
"(2012 VJ38)","2031-2119","52","1.3e-4","4.45","28.5","0.007","-5.29","-5.37","0","bK12V38J"
"(2020 XE)","2040-2040","1","3.2e-6","24.11","26.3","0.019","-5.29","-5.29","0","bK20X00E"
"(2023 MZ5)","2051-2121","68","2.0e-5","11.08","26.1","0.020","-5.29","-5.74","0","bK23M05Z"
"(2020 OR4)","2093-2121","19","8.2e-6","21.37","25.6","0.025","-5.30","-5.61","0","bK20O04R"
"(2020 HQ4)","2051-2122","280","8.9e-5","3.52","27.0","0.014","-5.30","-6.04","0","bK20H04Q"
"443104 (2013 XK22)","2101-2101","1","4.5e-6","6.90","24.2","0.050","-5.30","-5.30","0","a0443104"
"(2011 KF36)","2024-2031","6","7.5e-10","22.04","20.4","0.275","-5.31","-5.63","0","bK11K36F"
"(2021 VB)","2085-2119","59","2.8e-5","6.23","25.8","0.023","-5.31","-5.88","0","bK21V00B"
"(2018 GE2)","2060-2122","46","8.4e-5","6.11","27.0","0.013","-5.31","-5.79","0","bK18G02E"
"(2020 BK3)","2091-2105","5","6.2e-5","10.38","26.9","0.014","-5.31","-5.31","0","bK20B03K"
"(2023 XZ11)","2075-2078","2","5.5e-6","14.53","25.2","0.031","-5.31","-5.32","0","bK23X11Z"
"(2018 TP5)","2074-2113","48","1.7e-5","10.86","25.8","0.024","-5.32","-5.86","0","bK18T05P"
"(2016 DA31)","2031-2122","289","2.8e-4","13.74","29.9","0.004","-5.32","-5.58","0","bK16D31A"
"(2020 BY1)","2049-2049","2","7.9e-6","16.64","26.4","0.018","-5.32","-5.32","0","bK20B01Y"
"(2024 DB1)","2078-2090","3","4.6e-7","23.18","23.3","0.074","-5.33","-5.42","0","bK24D01B"
"(2015 BW516)","2052-2114","6","6.3e-5","11.49","27.7","0.010","-5.34","-5.64","0","bK15Bp6W"
"(2018 PZ21)","2045-2122","25","4.0e-5","6.30","26.7","0.016","-5.34","-5.41","0","bK18P21Z"
"(2012 TV)","2054-2114","27","4.5e-6","16.67","25.2","0.031","-5.35","-5.63","0","bK12T00V"
"(2010 GH7)","2099-2122","153","1.6e-4","5.05","27.3","0.012","-5.36","-5.86","0","bK10G07H"
"(2020 UC)","2049-2120","96","1.3e-4","7.57","27.6","0.010","-5.36","-5.93","0","bK20U00C"
"(2018 JN)","2100-2120","6","1.2e-5","7.76","25.1","0.033","-5.36","-5.52","0","bK18J00N"
"(2005 VN5)","2047-2121","89","5.6e-5","6.57","27.0","0.014","-5.36","-5.84","0","bK05V05N"
"(2021 VY4)","2103-2121","44","3.2e-5","13.91","26.4","0.018","-5.36","-5.90","0","bK21V04Y"
"(2012 BL14)","2030-2122","187","2.0e-5","19.77","28.2","0.008","-5.37","-5.80","0","bK12B14L"
"(2019 HS3)","2055-2083","7","1.0e-5","26.19","26.9","0.014","-5.37","-5.41","0","bK19H03S"
"(2011 CU46)","2061-2122","73","8.3e-6","16.17","25.5","0.027","-5.37","-6.24","0","bK11C46U"
"(2020 BY4)","2055-2122","18","8.6e-6","20.43","26.1","0.020","-5.37","-5.76","0","bK20B04Y"
"(2016 RR1)","2079-2120","45","2.1e-4","6.75","27.8","0.009","-5.37","-5.69","0","bK16R01R"
"(2002 TY59)","2084-2118","7","1.6e-5","8.22","25.4","0.028","-5.37","-5.54","0","bK02T59Y"
"(2023 XN15)","2087-2096","6","2.2e-5","19.49","26.7","0.015","-5.37","-5.64","0","bK23X15N"
"(2021 RF16)","2049-2054","6","2.4e-4","8.44","29.0","0.005","-5.38","-5.49","0","bK21R16F"
"(2018 VS6)","2083-2121","37","4.7e-5","11.80","26.9","0.014","-5.38","-5.57","0","bK18V06S"
"(2005 AU3)","2048-2122","64","1.6e-5","14.41","26.0","0.021","-5.38","-6.10","0","bK05A03U"
